

,,[80]
,[25-40-47],,[9],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.281250,0.109375,,,,,,,,,,,,0.062500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.687500,,,,,,,,,,,,,,,,,,,0.062500,,,,0.625000,,0.312500,,,0.187500,,,,0.312500,,0.218750,0.406250,,,,,,,0.562500,,,0.468750,0.171875,,1.406250,,,,,,,,,,0.562500,,,,,,0.468750,0.515625,,,,,,,,,,,,,0.281250,,,,,,,,0.390625,,,0.093750,,,,,,,,,0.375000,,,,,0.046875,,,,,,,,,,,,,,,,,,,0.406250,,,,,,,,,0.875000,1.562500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.750000,,,,,,0.875000,,,0.031250,0.031250,0.062500,0.125000,,,,,,,,,0.437500,,,,,,,,,,,,,0.250000,,,,,0.375000,0.828125,,,,,,0.109375,,,,,,,,,,,,,,,,,,,0.578125,,0.125000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.328125,0.375000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.125000,,,,0.187500,0.156250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,[25-40-99],,[10],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.281250,0.109375,,,,,,,,,,,,0.062500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.687500,,,,,,,,,,,,,,,,,,,0.062500,,,,0.625000,,0.312500,,,0.187500,,,,0.312500,,,0.406250,,,,,,,0.562500,,,0.468750,0.171875,,1.406250,,,,,,,,,,0.562500,,,,,,0.468750,0.515625,,,,,,,,,,,,,0.281250,,,,,,,,0.390625,,,0.093750,,,,,,,,,0.375000,,,,,0.046875,,,,,,,,,,,,,,,,,,,0.406250,,,,,,,,,0.875000,1.562500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.750000,,,,,,0.875000,,,0.031250,,,0.125000,,,,,,,,,0.437500,,,,,,,,,,,,,0.250000,,,,,0.375000,0.828125,,,,,,,,,,,,,,,,,,,,,,,,,0.578125,,0.125000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.328125,0.375000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.125000,,,,0.187500,0.156250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,[25-57-99],,[11],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.328125,0.250000,,,,,,,,,,,,0.125000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.593750,,,,,,,,,,,,,,,,,,,0.062500,,,,0.625000,,0.406250,,,0.281250,,,,0.312500,,0.218750,0.484375,,,,,,,0.687500,,,0.468750,0.171875,,0.765625,,,,,,,,,,0.562500,,,,,,0.468750,0.515625,,,,,,,,,,,,,0.281250,,,,,,,,0.125000,,,0.093750,,,,,,,,,0.375000,,,,,0.062500,,,,,,,,,,,,,,,,,,,0.406250,,,,,,,,,0.406250,1.562500,,,,,,,,,,,,,,,,,,,,,,,,,0.218750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.656250,,,,,,0.875000,,,0.078125,,,0.140625,,,,,,,,,0.437500,,,,,,,,,,,,,0.250000,,,,,0.375000,0.828125,,,,,,0.265625,,,,,,,,,,,,,,,,,,,0.328125,,0.125000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.328125,0.375000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.125000,,,,0.187500,0.156250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,[25-53-99],,[12],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.281250,0.109375,,,,,,,,,,,,0.578125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.312500,,,,,,,,,,,,,,,,,,,0.734375,,,,0.625000,,0.406250,,,0.187500,,,,0.312500,,,0.406250,,,,,,,0.562500,,,0.468750,0.171875,,0.375000,,,,,,,,,,0.562500,,,,,,0.593750,0.515625,,,,,,,,,,,,,0.281250,,,,,,,,0.156250,,,0.093750,,,,,,,,,0.375000,,,,,,,,,,,,,,,,,,,,,,,,0.406250,,,,,,,,,0.406250,1.562500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.656250,,,,,,0.875000,,,0.031250,,,0.125000,,,,,,,,,0.437500,,,,,,,,,,,,,0.250000,,,,,0.375000,0.828125,,,,,,,,,,,,,,,,,,,,,,,,,0.281250,,0.140625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.328125,0.375000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.125000,,,,0.187500,0.156250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,[25-50-99],,[13],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.281250,0.109375,,,,,,,,,,,,0.062500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.312500,,,,,,,,,,,,,,,,,,,0.937500,,,,0.625000,,0.312500,,,0.187500,,,,0.312500,,0.265625,0.406250,,,,,,,0.562500,,,0.468750,0.171875,,0.375000,,,,,,,,,,0.562500,,,,,,0.468750,0.515625,,,,,,,,,,,,,0.281250,,,,,,,,0.125000,,,0.093750,,,,,,,,,0.375000,,,,,0.062500,,,,,,,,,,,,,,,,,,,0.406250,,,,,,,,,0.421875,1.562500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.656250,,,,,,0.875000,,,0.031250,,,0.328125,,,,,,,,,0.437500,,,,,,,,,,,,,0.250000,,,,,0.375000,0.828125,,,,,,,,,,,,,,,,,,,,,,,,,0.281250,,0.125000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.328125,0.375000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.125000,,,,0.187500,0.156250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,[9-25-99],,[14],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.281250,0.109375,,,,,,,,,,,,0.062500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.312500,,,,,,,,,,,,,,,,,,,0.062500,,,,0.625000,,0.312500,,,0.187500,,,,0.312500,,0.218750,0.406250,,,,,,,0.562500,,,0.468750,0.171875,,0.859375,,,,,,,,,,0.562500,,,,,,0.468750,0.515625,,,,,,,,,,,,,0.281250,,,,,,,,0.437500,,,0.093750,,,,,,,,,0.406250,,,,,,,,,,,,,,,,,,,,,,,,0.406250,,,,,,,,,0.406250,1.562500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.656250,,,,,,0.875000,,,0.031250,,,0.125000,,,,,,,,,0.437500,,,,,,,,,,,,,0.250000,,,,,0.375000,0.828125,,,,,,,,,,,,,,,,,,,,,,,,,0.281250,,0.125000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.328125,0.375000,,,,,,,0.203125,,,,,,,,,,,,,,,,,,,,,,,0.125000,,,,0.187500,0.156250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,[14-25-99],,[15],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.281250,0.109375,,,,,,,,,,,,0.062500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.312500,,,,,,,,,,,,,,,,,,,0.062500,,,,0.625000,,0.312500,,,0.187500,,,,0.312500,,,0.406250,,,,,,,0.562500,,,0.468750,0.171875,,0.750000,,,,,,,,,,0.562500,,,,,,0.468750,0.515625,,,,,,,,,,,,,0.375000,,,,,,,,0.156250,,,0.093750,,,,,,,,,0.375000,,,,,,,,,,,,,,,,,,,,,,,,0.406250,,,,,,,,,0.406250,1.562500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.750000,,,,,,0.875000,,,0.250000,,,0.515625,,,,,,,,,0.437500,,,,,,,,,,,,,0.250000,,,,,0.375000,0.828125,,,,,,,,,,,,,,,,,,,,,,,,,0.281250,,0.125000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.328125,0.375000,,,,,,,0.031250,,,,,,,,,,,,,,,,,,,,,,,0.125000,,,,0.203125,0.156250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,[0-25-99],,[16],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.281250,0.109375,,,,,,,,,,,,0.062500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.312500,,,,,,,,,,,,,,,,,,,0.765625,,,,0.625000,,0.312500,,,0.187500,,,,0.312500,,0.343750,0.406250,,,,,,,0.562500,,,0.468750,0.171875,,0.515625,,,,,,,,,,0.562500,,,,,,0.468750,0.515625,,,,,,,,,,,,,0.281250,,,,,,,,0.125000,,,0.093750,,,,,,,,,0.406250,,,,,,,,,,,,,,,,,,,,,,,,0.406250,,,,,,,,,0.406250,1.562500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.656250,,,,,,0.875000,,,0.031250,,,0.125000,,,,,,,,,0.437500,,,,,,,,,,,,,0.250000,,,,,0.375000,0.828125,,,,,,,,,,,,,,,,,,,,,,,,,0.281250,,0.125000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.328125,0.375000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.125000,,,,0.187500,0.156250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,[25-48-99],,[17],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.281250,0.109375,,,,,,,,,,,,0.062500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.312500,,,,,,,,,,,,,,,,,,,0.062500,,,,0.625000,,0.312500,,,0.187500,,,,0.312500,,,0.406250,,,,,,,0.562500,,,0.468750,0.171875,,0.375000,,,,,,,,,,0.671875,,,,,,0.468750,0.515625,,,,,,,,,,,,,0.281250,,,,,,,,0.484375,,,0.093750,,,,,,,,,0.375000,,,,,,,,,,,,,,,,,,,,,,,,0.406250,,,,,,,,,0.406250,1.562500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.656250,,,,,,0.875000,,,0.031250,,,0.125000,,,,,,,,,0.453125,,,,,,,,,,,,,0.406250,,,,,0.375000,0.828125,,,,,,0.343750,,,,,,,,,,,,,,,,,,,0.281250,,0.125000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.328125,0.375000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.125000,,,,0.187500,0.156250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,[25-61-99],,[18],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.281250,0.109375,,,,,,,,,,,,0.062500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.562500,,,,,,,,,,,,,,,,,,,0.062500,,,,0.625000,,0.312500,,,0.187500,,,,0.312500,,0.046875,0.468750,,,,,,,0.687500,,,0.468750,0.171875,,0.375000,,,,,,,,,,0.562500,,,,,,0.468750,0.515625,,,,,,,,,,,,,0.281250,,,,,,,,0.406250,,,0.093750,,,,,,,,,0.375000,,,,,,,,,,,,,,,,,,,,,,,,0.453125,,,,,,,,,0.406250,1.562500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.656250,,,,,,0.875000,,,0.031250,,,0.125000,,,,,,,,,0.437500,,,,,,,,,,,,,0.250000,,,,,0.375000,0.828125,,,,,,,,,,,,,,,,,,,,,,,,,0.281250,,0.250000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.328125,0.375000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.125000,,,,0.187500,0.156250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,[24-25-99],,[19],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.281250,0.109375,,,,,,,,,,,,0.062500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.312500,,,,,,,,,,,,,,,,,,,0.062500,,,,0.625000,,0.312500,,,0.187500,,,,0.312500,,,0.406250,,,,,,,0.562500,,,0.468750,0.171875,,0.875000,,,,,,,,,,0.562500,,,,,,0.468750,0.515625,,,,,,,,,,,,,0.281250,,,,,,,,0.125000,,,0.093750,,,,,,,,,0.375000,,,,,,,,,,,,,,,,,,,,,,,,0.406250,,,,,,,,,0.406250,1.562500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.656250,,,,,,0.875000,,,0.031250,,,0.125000,,,,,,,,,0.437500,,,,,,,,,,,,,0.250000,,,,,0.375000,0.828125,,,,,,,,,,,,,,,,,,,,,,,,,0.281250,,0.125000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.328125,0.375000,,,,,,,0.359375,,,,,,,,,,,,,,,,,,,,,,,0.125000,,,,0.187500,0.156250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
